GEOID,Population,Area_total,Area_land,Density
42001,101407,521.79,518.67,195.5
42003,1223348,744.52,730.07,1675.6
42005,68941,663.84,653.2,105.5
42007,170539,444.04,434.71,392.3
42009,49762,1016.91,1012.3,49.2
42011,411442,865.76,856.51,480.4
42013,127089,527.07,525.8,241.7
42015,62622,1161.02,1147.4,54.6
42017,625249,621.87,604.31,1034.7
42019,183862,794.75,788.6,233.1
42021,143679,693.63,688.35,208.7
42023,5085,398.42,396.23,12.8
42025,65249,387.39,381.46,171.1
42027,153990,1112.96,1109.92,138.7
42029,498886,759.23,750.51,664.7
42031,39988,609.84,600.83,66.6
42033,81642,1153.96,1144.72,71.3
42035,39238,896.93,887.98,44.2
42037,67295,490.16,483.11,139.3
42039,88765,1037.51,1012.3,87.7
42041,235406,550.3,545.46,431.6
42043,268100,558.18,525.05,510.6
42045,558979,190.6,183.84,3040.5
42047,31946,832.31,827.36,38.6
42049,280566,1558.23,799.15,351.1
42051,136606,798.31,790.34,172.8
42053,7716,430.5,427.19,18.1
42055,149618,772.82,772.22,193.7
42057,14845,438.06,437.55,33.9
42059,38686,577.98,575.95,67.2
42061,45913,889.27,874.64,52.5
42063,88880,834.29,827.03,107.5
42065,45200,656.8,652.43,69.3
42067,24636,393.51,391.35,63
42069,214437,464.91,459.08,467.1
42071,519445,983.8,943.81,550.4
42073,91108,362.72,358.18,254.4
42075,133568,362.5,361.83,369.1
42077,349497,348.24,345.17,1012.5
42079,320918,906.26,890.33,360.4
42081,116111,1243.84,1228.59,94.5
42083,43450,984.22,979.2,44.4
42085,116638,682.61,672.57,173.4
42087,46682,414.72,411.03,113.6
42089,169842,617.26,608.29,279.2
42091,799874,487.19,483.04,1655.9
42093,18267,132.33,130.24,140.3
42095,297735,377.4,369.67,805.4
42097,94528,477.52,458.37,206.2
42099,45969,555.54,551.45,83.4
42101,1526006,142.71,134.1,11379.5
42103,57369,566.85,544.96,105.3
42105,17457,1081.54,1081.32,16.1
42107,148289,782.81,778.63,190.4
42109,39702,331.52,328.71,120.8
42111,77742,1080.93,1074.37,72.4
42113,6428,452.49,449.94,14.3
42115,43356,832.14,823.43,52.7
42117,41981,1136.97,1133.79,37
42119,44947,317.78,315.98,142.2
42121,54984,682.84,674.28,81.5
42123,41815,898.56,884.13,47.3
42125,207820,860.91,856.99,242.5
42127,52822,750.61,725.6,72.8
42129,365169,1036.07,1027.55,355.4
42131,28276,405.05,397.32,71.2
42133,434972,910.72,904.18,481.1
